id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-2507,Siddapur,subdistrict,India,,,siddapur,S,R
subdistrict-2508,Savadathi,subdistrict,India,,,savadathi,S,I
subdistrict-2509,Raichur,subdistrict,India,,,raichur,R,R
subdistrict-2510,Mundaragi,subdistrict,India,,,mundaragi,M,I
subdistrict-2511,Byadgi,subdistrict,India,,,byadgi,B,I
subdistrict-2512,Koratagere,subdistrict,India,,,koratagere,K,E
subdistrict-2513,Sringeri,subdistrict,India,,,sringeri,S,I
subdistrict-2514,Mulbagal,subdistrict,India,,,mulbagal,M,L
subdistrict-2515,Aurad,subdistrict,India,,,aurad,A,D
subdistrict-2516,Sulya,subdistrict,India,,,sulya,S,A
subdistrict-2517,Devanhalli,subdistrict,India,,,devanhalli,D,I
subdistrict-2518,Kundgol,subdistrict,India,,,kundgol,K,L
subdistrict-2519,Chiknayakanhalli,subdistrict,India,,,chiknayakanhalli,C,I
subdistrict-2520,Savanur,subdistrict,India,,,savanur,S,R
subdistrict-2521,Bilagi,subdistrict,India,,,bilagi,B,I
subdistrict-2522,Bidar,subdistrict,India,,,bidar,B,R
subdistrict-2523,Bengaluru East,subdistrict,India,,,bengalurueast,B,T
subdistrict-2524,Harihara,subdistrict,India,,,harihara,H,A
subdistrict-2525,Yelandur,subdistrict,India,,,yelandur,Y,R
